Node,Long1,Lat1
5179,0.9030106650989128,0.42961813127196935
5180,0.9029738173480238,0.42969557268365904
5181,0.9029369629558265,0.4297730109349683
5182,0.902900101922592,0.4298504460253275
5183,0.9028632342485913,0.4299278779541673
5184,0.9028263599340957,0.430005306720918
5185,0.9027894789793762,0.43008273232501026
5186,0.9027525913847043,0.43016015476587455
5187,0.9027156971503512,0.43023757404294144
5188,0.9026787962765882,0.43031499015564156
5189,0.9026418887636867,0.43039240310340543
5190,0.9026049746119182,0.43046981288566377
5191,0.9025680538215544,0.4305472195018472
5192,0.9025311263928665,0.43062462295138637
5193,0.9024941923261263,0.4307020232337121
5194,0.9024572516216053,0.43077942034825495
5195,0.9024203042795754,0.4308568142944458
5196,0.9023833503003083,0.4309342050717153
5197,0.9023463896840755,0.4310115926794944
5198,0.9023094224311493,0.43108897711721383
5199,0.9022724485418013,0.43116635838430445
5200,0.9022354680163036,0.4312437364801971
5201,0.9021984808549279,0.4313211114043227
5202,0.9021614870579466,0.4313984831561122
5203,0.9021244866256316,0.4314758517349964
5204,0.9020874795582551,0.4315532171404064
5205,0.9020504658560892,0.4316305793717731
5206,0.9020134455194061,0.43170793842852756
5207,0.9019764185484782,0.4317852943101008
5208,0.9019393849435778,0.43186264701592386
5209,0.9019023447049773,0.4319399965454278
5210,0.9018652978329491,0.4320173428980438
5211,0.9018282443277658,0.43209468607320284
5212,0.9017911841896996,0.43217202607033617
5213,0.9017541174190233,0.43224936288887494
5214,0.9017170440160096,0.43232669652825034
5215,0.901679963980931,0.4324040269878936
5216,0.9016428773140603,0.43248135426723594
5217,0.9016057840156703,0.4325586783657086
5218,0.9015686840860337,0.43263599928274293
5219,0.9015315775254236,0.4327133170177702
5220,0.9014944643341126,0.43279063157022174
5221,0.9014573445123739,0.4328679429395289
5222,0.9014202180604804,0.4329452511251231
5223,0.9013830849787052,0.43302255612643575
5224,0.9013459452673215,0.43309985794289824
5225,0.9013087989266023,0.433177156573942
5226,0.901271645956821,0.43325445201899854
5227,0.9012344863582507,0.4333317442774994
5228,0.9011973201311647,0.433409033348876
5229,0.9011601472758364,0.4334863192325599
5230,0.9011229677925392,0.43356360192798277
5231,0.9010857816815466,0.43364088143457613
5232,0.9010485889431321,0.4337181577517716
5233,0.9010113895775691,0.43379543087900074
5234,0.9009741835851314,0.43387270081569534
5235,0.9009369709660926,0.43394996756128706
5236,0.9008997517207262,0.4340272311152076
5237,0.9008625258493063,0.4341044914768886
5238,0.9008252933521063,0.434181748645762
5239,0.9007880542294003,0.4342590026212594
5240,0.9007508084814622,0.4343362534028126
5241,0.9007135561085657,0.43441350098985365
