Node,Long1,Lat1
137,-340.15728759765625,-461.32855224609375
138,-340.9886474609375,-460.5748596191406
139,-339.8354187011719,-459.4726867675781
140,-339.2025451660156,-460.3155822753906
141,-340.32586669921875,-462.02423095703125
142,-341.4127197265625,-460.3699951171875
143,-340.08013916015625,-459.0016784667969
144,-387.1509704589844,754.2865600585938
145,329.20770263671875,-298.423828125
146,327.1853332519531,-299.1439208984375
147,329.4243469238281,-297.6884765625
148,330.8307189941406,-298.25701904296875
149,326.389892578125,-299.0720520019531
150,325.96307373046875,-299.84857177734375
151,330.2809753417969,-296.9128112792969
152,328.2550048828125,-297.595947265625
153,331.5054016113281,-297.57415771484375
154,331.1494445800781,-298.8707580566406
155,325.3218688964844,-299.6552734375
156,327.3463439941406,-298.4270935058594
157,324.9178161621094,-300.1787414550781
158,331.1240234375,-296.84356689453125
159,329.8376770019531,-296.5130615234375
160,328.145263671875,-297.134521484375
161,332.49072265625,-297.6880798339844
162,324.1849060058594,-300.0937805175781
163,331.25732421875,-296.13836669921875
164,333.1876220703125,-297.8567199707031
165,323.76080322265625,-300.6176452636719
166,324.24652099609375,-300.7686462402344
167,324.0059509277344,-299.5160827636719
168,-65.84166717529297,-1087.4090576171875
169,-34.629112243652344,146.0729522705078
170,-33.81704330444336,146.36659240722656
171,-34.054893493652344,146.99447631835938
172,-36.271793365478516,144.91799926757812
173,-33.05414581298828,146.76600646972656
174,-33.34007263183594,147.52528381347656
175,-37.949459075927734,143.61904907226562
176,-32.83012008666992,147.370849609375
177,-39.79738998413086,142.492431640625
178,-41.69367980957031,141.42344665527344
179,-43.264137268066406,140.46502685546875
180,-44.7442626953125,139.43899536132812
181,-45.87895202636719,138.58792114257812
182,-46.674560546875,137.54591369628906
183,-47.38046646118164,136.60784912109375
184,-47.63068771362305,135.8079833984375
185,-47.908817291259766,135.20779418945312
186,781.3504638671875,-505.6980285644531
187,122.50271606445312,-118.75969696044922
188,122.24344635009766,-119.9703140258789
189,123.53642272949219,-119.63017272949219
190,121.74679565429688,-116.8095703125
191,122.4767074584961,-120.7036361694336
192,121.52757263183594,-120.4194564819336
193,123.35528564453125,-120.3214111328125
194,124.33055114746094,-119.93733978271484
195,120.89326477050781,-114.93850708007812
196,123.03602600097656,-120.61101531982422
197,121.989990234375,-121.361328125
198,121.3348159790039,-121.1786880493164
199,123.77136993408203,-120.70052337646484
200,124.51315307617188,-120.67140197753906
201,120.65950012207031,-113.8616943359375
202,120.09104919433594,-114.15309143066406
203,121.59451293945312,-121.74078369140625
204,124.00878143310547,-121.15950775146484
205,120.34524536132812,-112.96308898925781
206,119.87997436523438,-113.33223724365234
207,120.09967041015625,-112.37181854248047
208,120.53030395507812,-111.44951629638672
209,120.82933807373047,-110.65251159667969
210,120.71654510498047,-110.06262969970703
211,121.37584686279297,-110.91551971435547
212,-904.317138671875,-334.9096374511719
213,498.34710693359375,-442.2814025878906
214,497.423095703125,-443.69866943359375
215,498.09027099609375,-441.3498229980469
216,499.1105041503906,-441.6264953613281
217,496.3848876953125,-445.114501953125
218,498.6526184082031,-440.4180603027344
219,497.49212646484375,-441.4143981933594
220,499.3783874511719,-440.71246337890625
221,496.24566650390625,-445.9590759277344
222,495.556396484375,-445.6022033691406
223,499.16656494140625,-439.7418518066406
224,495.7394104003906,-446.5780029296875
225,495.0906982421875,-446.3752746582031
226,499.1583557128906,-439.0992736816406
227,495.20416259765625,-447.16693115234375
228,495.3241882324219,-448.01806640625
229,495.5032653808594,-448.5592346191406
230,804.4885864257812,480.0903625488281
231,-321.85333251953125,644.95556640625
232,-321.7438659667969,644.2290649414062
233,-322.4293518066406,644.7484130859375
234,-321.2668762207031,645.6480102539062
235,-321.9261779785156,643.5165405273438
236,-322.7532958984375,644.0241088867188
237,-321.56109619140625,646.2472534179688
238,-320.6058349609375,645.5586547851562
239,-322.4699401855469,643.608154296875
240,-321.30364990234375,643.3118896484375
241,-323.485595703125,644.1238403320312
242,-324.1327209472656,644.1770629882812
243,643.35791015625,715.4878540039062
244,40.357749938964844,-770.0420532226562
245,40.899620056152344,-769.4277954101562
246,39.953521728515625,-770.744873046875
247,41.517547607421875,-769.65283203125
248,40.646263122558594,-768.6173706054688
249,39.83053207397461,-771.2950439453125
250,39.62135696411133,-770.188232421875
251,42.11336135864258,-769.7991333007812
252,-231.14100646972656,859.0517578125
253,723.26953125,-180.1168975830078
254,723.9537963867188,-180.733642578125
255,723.1390380859375,-179.47958374023438
256,722.5087280273438,-180.16165161132812
257,724.5626220703125,-180.04981994628906
258,723.7373046875,-181.6205291748047
259,723.9661254882812,-178.99986267089844
260,722.0814819335938,-179.5271453857422
261,721.8699951171875,-180.189208984375
262,724.675048828125,-179.3248748779297
263,725.1104736328125,-180.28289794921875
264,723.411376953125,-182.0944366455078
265,723.7349243164062,-178.49952697753906
266,721.7509765625,-179.01632690429688
267,721.4755249023438,-180.68675231933594
268,725.1316528320312,-179.12705993652344
269,776.5316772460938,-440.93914794921875
270,-135.92616271972656,-132.24810791015625
271,-135.65858459472656,-133.41787719726562
272,-135.55923461914062,-132.08885192871094
273,-136.74729919433594,-131.63555908203125
274,-135.75196838378906,-133.97120666503906
275,-135.72019958496094,-132.79005432128906
276,-135.1861114501953,-131.51246643066406
277,-137.2487335205078,-131.2489471435547
